 ** OS Runtime Summary (osrt_sum):

Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)    Min (ns)  Max (ns)   StdDev (ns)           Name         
--------  ---------------  ---------  ----------  -----------  --------  ---------  -----------  ----------------------
    86.8      83863587953        841  99718891.7  100165104.0      1861  100587039    6295566.0  poll                  
    13.0      12517195119    3529869      3546.1       3060.0      1004   80947660      44334.1  ioctl                 
    0.1        113602958      10096     11252.3       1576.0      1000   14954506     150879.6  fread                 
    0.0         44327946        230    192730.2     127102.0     29593     523269     138338.7  pthread_rwlock_wrlock 
    0.0         19482455        221     88155.9      85442.0      1415     293876      46387.7  pthread_rwlock_rdlock 
    0.0          4039240         41     98518.0       5656.0      1056    2152519     375794.1  fopen                 
    0.0          1439438          4    359859.5       6770.0      1627    1424271     709612.4  open                  
    0.0           815872          1    815872.0     815872.0    815872     815872          0.0  pthread_join          
    0.0           586453         19     30865.9       2994.0      1016     478028     108639.7  fclose                
    0.0           333142          3    111047.3     101766.0     88051     143325      28782.1  pthread_create        
    0.0           297654         22     13529.7      12592.5      2475      50538       9925.2  mmap                  
    0.0           242469          3     80823.0      84948.0     64404      93117      14794.3  sem_timedwait         
    0.0            53495          4     13373.8      16139.5      1215      20001       8706.1  write                 
    0.0            33507          1     33507.0      33507.0     33507      33507          0.0  fgets                 
    0.0            21166          8      2645.8       2048.0      1305       5559       1514.3  fcntl                 
    0.0            20771          3      6923.7       6813.0      3113      10845       3867.2  pipe2                 
    0.0            11902          1     11902.0      11902.0     11902      11902          0.0  pthread_mutex_lock    
    0.0             8102          4      2025.5       1980.5      1673       2468        333.6  read                  
    0.0             5582          3      1860.7       1847.0      1505       2230        362.7  pthread_cond_broadcast
    0.0             4540          2      2270.0       2270.0      2002       2538        379.0  fwrite                

** CUDA API Summary (cuda_api_sum):

Time (%)  Total Time (ns)  Num Calls   Avg (ns)   Med (ns)  Min (ns)  Max (ns)   StdDev (ns)           Name         
--------  ---------------  ---------  ----------  --------  --------  ---------  -----------  ----------------------
    61.0      48508608231     940004     51604.7   34100.5      4974    3073556      43129.4  cudaMemcpy            
    25.5      20260295756    2210000      9167.6    7662.0      3464    3534451       8833.6  cudaLaunchKernel      
    13.3      10588067949     370000     28616.4   21906.0      1080    2525434      20982.0  cudaDeviceSynchronize 
    0.20        134640993         11  12240090.3    2939.0      2066  134148210   40432571.5  cudaMalloc            
    0.00           357407         11     32491.5    2366.0      1590     326294      97479.2  cudaFree              
    0.00            1108          1      1108.0    1108.0      1108       1108          0.00  cuModuleGetLoadingMode
